収支区分,発生日,勘定科目,金額,税区分,備考,品目,決済状況,決済口座,決済金額,決済日
支出,2024-03-11,売掛金,21756,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-03-25,売掛金,2303,,Amazonへの支払い,Amazon出品者アカウント,完了,NTTファイナンスBizカード,2303.0,2024-03-25
支出,2024-04-08,売掛金,3572,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-04-22,売掛金,8303,,Amazonへの支払い,Amazon出品者アカウント,完了,NTTファイナンスBizカード,8303.0,2024-04-22
支出,2024-05-06,売掛金,7630,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-05-20,売掛金,4727,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-06-03,売掛金,5749,,Amazonへの支払い,Amazon出品者アカウント,完了,NTTファイナンスBizカード,5749.0,2024-06-03
支出,2024-06-17,売掛金,2518,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-07-01,売掛金,8700,,Amazonへの支払い,Amazon出品者アカウント,完了,NTTファイナンスBizカード,8700.0,2024-07-01
支出,2024-07-15,売掛金,2936,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-07-29,売掛金,15601,,Amazonへの支払い,Amazon出品者アカウント,完了,NTTファイナンスBizカード,15601.0,2024-07-29
支出,2024-08-12,売掛金,5940,,受け取り,Amazon出品者アカウント,未決済,,,
支出,2024-08-26,売掛金,17979,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-09-09,売掛金,2063,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-09-23,売掛金,40483,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-09-30,売掛金,3300,,セールモンスター売上9月分,セールモンスター,未決済,,,
支出,2024-10-07,売掛金,5162,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-10-21,売掛金,46318,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-10-31,売掛金,2250,,セールモンスター売上10月分,セールモンスター,未決済,,,
支出,2024-11-04,売掛金,38653,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-11-18,売掛金,87331,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-11-30,売掛金,4450,,セールモンスター売上11月分,セールモンスター,未決済,,,
支出,2024-12-02,売掛金,14289,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-12-16,売掛金,48408,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-12-30,売掛金,62501,,受取,Amazon出品者アカウント,未決済,,,
支出,2024-12-31,売掛金,2200,,セールモンスター売上12月分,セールモンスター,未決済,,,
支出,2024-01-01,事業主借,22957,,,,未決済,,,
支出,2024-02-26,売上高,2850,,返金 返金済みの売上,,未決済,,,
支出,2024-08-26,売上高,1996,,返金 返金済みの売上,,未決済,,,
支出,2024-11-18,売上高,998,,返金 返金済みの売上,,未決済,,,
支出,2024-01-01,仕入高,93389,,,,未決済,,,
支出,2024-01-17,仕入高,2579,,発注書PO-0007洗濯タグ500個（pu）(-125元×20.63円/元),副資材,完了,ESPRIME,2579.0,2024-01-17
支出,2024-04-23,仕入高,54773,,発注書PO-0011食事エプロン,商品代金,完了,ESPRIME,54773.0,2024-04-23
支出,2024-05-21,仕入高,4642,,発注書PO-0011食事エプロン検品9ｈ,検品梱包費,完了,ESPRIME,4642.0,2024-05-21
支出,2024-07-11,仕入高,32905,,PO-0012_発注書_PUお食事エプロン（洗濯タグ取り付け、3DポケットOEM）150個,商品代金,完了,ESPRIME,32905.0,2024-07-11
支出,2024-07-18,仕入高,11016,,OCS PO-0011　PUお食事エプロン　1箱2024.6.4.,国際送料,完了,ESPRIME,11016.0,2024-07-18
支出,2024-07-31,仕入高,5776,,PO-0013_発注書（ポリウレタン生地用 洗濯タグ2000個）,副資材,完了,ESPRIME,5776.0,2024-07-31
支出,2024-07-31,仕入高,65707,,PO-0014_発注書_PUお食事エプロン（洗濯タグ取り付け、3DポケットOEM）6色×50個,商品代金,完了,ESPRIME,65707.0,2024-07-31
支出,2024-08-01,仕入高,8768,,PO-0012_発注書_PUお食事エプロン（洗濯タグ取り付け、3DポケットOEM）150個 検...,検品梱包費,完了,ESPRIME,8768.0,2024-08-01
支出,2024-08-06,仕入高,165,,300個洗濯タグを工場に発送する国内送料（pu）,副資材,完了,ESPRIME,165.0,2024-08-06
支出,2024-08-14,仕入高,516,,PO-0014_発注書_PUお食事エプロン検品1ｈ,検品梱包費,完了,ESPRIME,516.0,2024-08-14
支出,2024-08-15,仕入高,3900,,PO-0012_OCS輸入消費税等、立替手数料,関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,3900.0,2024-08-15
支出,2024-08-15,仕入高,11300,, PO-0011　PUお食事エプロン,関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,11300.0,2024-08-15
支出,2024-08-15,仕入高,4642,,PO-0014_発注書_PUお食事エプロン検品9ｈ,検品梱包費,完了,ESPRIME,4642.0,2024-08-15
支出,2024-08-16,仕入高,4642,,PO-0014_発注書_PUお食事エプロン検品9ｈ,検品梱包費,完了,ESPRIME,4642.0,2024-08-16
支出,2024-08-19,仕入高,4642,,PO-0014_発注書_PUお食事エプロン検品9ｈ,検品梱包費,完了,ESPRIME,4642.0,2024-08-19
支出,2024-08-26,仕入高,125430,,PO-0015お食事エプロン 650個,商品代金,完了,ESPRIME,125430.0,2024-08-26
支出,2024-08-27,仕入高,371,,PO-0012洗濯タグを工場に発送する国内送料（pu）,副資材,完了,ESPRIME,371.0,2024-08-27
支出,2024-09-13,仕入高,3285,,お食事お食事エプロンPO-0015検品6h,検品梱包費,完了,ESPRIME,3285.0,2024-09-13
支出,2024-09-18,仕入高,18567,,PO-0015_発注書_PUお食事エプロン検品36ｈ,検品梱包費,完了,ESPRIME,18567.0,2024-09-18
支出,2024-09-25,仕入高,250036,,PO-0016お食事エプロン 1200個,商品代金,完了,ESPRIME,250036.0,2024-09-25
支出,2024-09-25,仕入高,7839,,OCS 　大仁皓平さん PO-0012_発注書_PUお食事エプロン144個　2024.8.6,国際送料,完了,ESPRIME,7839.0,2024-09-25
支出,2024-09-25,仕入高,11730,,"OCS 大仁皓平さん  PO-0014,PO-0012返品分_お食事エプロン 1箱 2024.8.27(-568.6元×20.63円/元)",国際送料,完了,ESPRIME,11730.0,2024-09-25
支出,2024-09-27,仕入高,6132,,PO-0017洗濯タグを2000個,副資材,完了,ESPRIME,6132.0,2024-09-27
支出,2024-09-28,仕入高,7850,,みずほ銀行 芝支店 当座預金 0108684 カ)オ-シ-エス(依頼人名:カイテキブツパン ダイニンコウヘイ 振込予定日:2024年09月28日 管理番号:20240928-25059190),関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,7850.0,2024-09-28
支出,2024-09-28,仕入高,11550,,みずほ銀行 芝支店 当座預金 0108684 カ)オ-シ-エス(依頼人名:カイテキブツパン ダイニンコウヘイ 振込予定日:2024年09月28日 管理番号:20240928-25057667),関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,11550.0,2024-09-28
支出,2024-10-16,仕入高,13166,,OCS 　大仁皓平さん PO-0015_発注書_PUお食事エプロン548個,国際送料,完了,ESPRIME,13166.0,2024-10-16
支出,2024-10-28,仕入高,3285,,PO-0016_発注書_PUお食事エプロン検品6ｈ,検品梱包費,完了,ESPRIME,3285.0,2024-10-28
支出,2024-10-29,仕入高,10403,,PO-0016_発注書_PUお食事エプロン検品19ｈ,検品梱包費,完了,ESPRIME,10403.0,2024-10-29
支出,2024-10-30,仕入高,9855,,PO-0016_発注書_PUお食事エプロン検品18ｈ,検品梱包費,完了,ESPRIME,9855.0,2024-10-30
支出,2024-10-31,仕入高,4928,,PO-0016_発注書_PUお食事エプロン検品9ｈ,検品梱包費,完了,ESPRIME,4928.0,2024-10-31
支出,2024-11-01,仕入高,21250,,みずほ銀行 芝支店 当座預金 0108684 カ)オ-シ-エス(依頼人名:カイテキブツパン ダイニンコウヘイ 振込予定日:2024年11月01日 管理番号:20241101-26624435),関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,21250.0,2024-11-01
支出,2024-11-01,仕入高,548,,PO-0016_発注書_PUお食事エプロン検品1ｈ,検品梱包費,完了,ESPRIME,548.0,2024-11-01
支出,2024-11-19,仕入高,504,,PUお食事エプロン不良品返品の国内送料,商品代金,完了,ESPRIME,504.0,2024-11-19
支出,2024-11-21,仕入高,132933,,PO-0019_発注書_PUお食事エプロン　600個,商品代金,完了,ESPRIME,132933.0,2024-11-21
支出,2024-11-28,仕入高,403,,PO-0019_発注書 600個洗濯タグを工場に発送する国内送料（pu）,商品代金,完了,ESPRIME,403.0,2024-11-28
支出,2024-12-04,仕入高,28550,,三井住友銀行 大阪中央支店 普通預金 8535207 カイゲンブツリユウ (カ(依頼人名:カイテキブツパン ダイニンコウヘイ 振込予定日:2024年12月04日 管理番号:20241204-27903,関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,28550.0,2024-12-04
支出,2024-12-04,仕入高,14050,,三井住友銀行 大阪中央支店 普通預金 8535207 カイゲンブツリユウ (カ(依頼人名:カイテキブツパン ダイニンコウヘイ 振込予定日:2024年12月04日 管理番号:20241204-27903,関税消費税等,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,14050.0,2024-12-04
支出,2024-12-17,仕入高,12583,,DQS　PO-0016_発注書_PUお食事エプロン　合計3箱　2024.11.8,国際送料,完了,ESPRIME,12583.0,2024-12-17
支出,2024-12-17,仕入高,5749,,DQS PO-0016_発注書_PUお食事エプロン　合計2箱　2024.11.8,国際送料,完了,ESPRIME,5749.0,2024-12-17
支出,2024-01-01,Amazon手数料,223,,支出 その他,,未決済,,,
支出,2024-01-01,Amazon手数料,94,,支出 プロモーション割引額,,未決済,,,
支出,2024-01-01,Amazon手数料,13687,,支出 Amazon手数料,,未決済,,,
支出,2024-01-15,Amazon手数料,4820,,支出 Amazon手数料,,未決済,,,
支出,2024-01-15,Amazon手数料,2924,,支出 FBA 手数料,,未決済,,,
支出,2024-01-15,Amazon手数料,137,,支出 その他,,未決済,,,
支出,2024-01-15,Amazon手数料,186,,支出 プロモーション割引額,,未決済,,,
支出,2024-01-29,Amazon手数料,66,,支出 その他,,未決済,,,
支出,2024-01-29,Amazon手数料,7921,,支出 Amazon手数料,,未決済,,,
支出,2024-01-29,Amazon手数料,243,,支出 FBA 手数料,,未決済,,,
支出,2024-02-12,Amazon手数料,7316,,支出 Amazon手数料,,未決済,,,
支出,2024-02-12,Amazon手数料,1488,,支出 FBA 手数料,,未決済,,,
支出,2024-02-12,Amazon手数料,207,,支出 その他,,未決済,,,
支出,2024-02-12,Amazon手数料,372,,支出 プロモーション割引額,,未決済,,,
支出,2024-02-26,Amazon手数料,15875,,支出 Amazon手数料,,未決済,,,
支出,2024-02-26,Amazon手数料,227,,支出 FBA 手数料,,未決済,,,
支出,2024-02-26,Amazon手数料,315,,支出 その他,,未決済,,,
支出,2024-02-26,Amazon手数料,466,,支出 プロモーション割引額,,未決済,,,
支出,2024-03-11,Amazon手数料,13072,,支出 Amazon手数料,,未決済,,,
支出,2024-03-11,Amazon手数料,1118,,支出 FBA 手数料,,未決済,,,
支出,2024-03-11,Amazon手数料,364,,支出 その他,,未決済,,,
支出,2024-03-11,Amazon手数料,932,,支出 プロモーション割引額,,未決済,,,
支出,2024-03-25,Amazon手数料,866,,支出 FBA 手数料,,未決済,,,
支出,2024-03-25,Amazon手数料,66,,支出 その他,,未決済,,,
支出,2024-03-25,Amazon手数料,7921,,支出 Amazon手数料,,未決済,,,
支出,2024-04-08,Amazon手数料,2566,,支出 Amazon手数料,,未決済,,,
支出,2024-04-08,Amazon手数料,62,,支出 その他,,未決済,,,
支出,2024-04-22,Amazon手数料,5986,,支出 Amazon手数料,,未決済,,,
支出,2024-04-22,Amazon手数料,3505,,支出 FBA 手数料,,未決済,,,
支出,2024-04-22,Amazon手数料,12,,支出 その他,,未決済,,,
支出,2024-05-06,Amazon手数料,125,,支出 その他,,未決済,,,
支出,2024-05-06,Amazon手数料,4645,,支出 Amazon手数料,,未決済,,,
支出,2024-05-20,Amazon手数料,3516,,支出 Amazon手数料,,未決済,,,
支出,2024-05-20,Amazon手数料,716,,支出 FBA 手数料,,未決済,,,
支出,2024-05-20,Amazon手数料,91,,支出 その他,,未決済,,,
支出,2024-06-03,Amazon手数料,2441,,支出 FBA 手数料,,未決済,,,
支出,2024-06-03,Amazon手数料,37,,支出 その他,,未決済,,,
支出,2024-06-03,Amazon手数料,6971,,支出 Amazon手数料,,未決済,,,
支出,2024-06-17,Amazon手数料,1786,,支出 Amazon手数料,,未決済,,,
支出,2024-06-17,Amazon手数料,646,,支出 FBA 手数料,,未決済,,,
支出,2024-06-17,Amazon手数料,50,,支出 その他,,未決済,,,
支出,2024-07-01,Amazon手数料,12,,支出 その他,,未決済,,,
支出,2024-07-01,Amazon手数料,3902,,支出 FBA 手数料,,未決済,,,
支出,2024-07-01,Amazon手数料,5986,,支出 Amazon手数料,,未決済,,,
支出,2024-07-15,Amazon手数料,1910,,支出 Amazon手数料,,未決済,,,
支出,2024-07-15,Amazon手数料,593,,支出 FBA 手数料,,未決済,,,
支出,2024-07-15,Amazon手数料,55,,支出 その他,,未決済,,,
支出,2024-07-29,Amazon手数料,124,,支出 プロモーション割引額,,未決済,,,
支出,2024-07-29,Amazon手数料,2908,,支出 FBA 手数料,,未決済,,,
支出,2024-07-29,Amazon手数料,20298,,支出 Amazon手数料,,未決済,,,
支出,2024-07-29,Amazon手数料,24520,,支出 その他,,未決済,,,
支出,2024-08-12,Amazon手数料,11636,,支出 Amazon手数料,,未決済,,,
支出,2024-08-12,Amazon手数料,831,,支出 FBA 手数料,,未決済,,,
支出,2024-08-12,Amazon手数料,375,,支出 その他,,未決済,,,
支出,2024-08-12,Amazon手数料,75,,支出 プロモーション割引額,,未決済,,,
支出,2024-08-26,Amazon手数料,21786,,支出 Amazon手数料,,未決済,,,
支出,2024-08-26,Amazon手数料,2719,,支出 FBA 手数料,,未決済,,,
支出,2024-08-26,Amazon手数料,1048,,支出 プロモーション割引額,,未決済,,,
支出,2024-08-26,Amazon手数料,439,,支出 その他,,未決済,,,
支出,2024-09-09,Amazon手数料,23662,,支出 Amazon手数料,,未決済,,,
支出,2024-09-09,Amazon手数料,989,,支出 FBA 手数料,,未決済,,,
支出,2024-09-09,Amazon手数料,610,,支出 その他,,未決済,,,
支出,2024-09-09,Amazon手数料,217,,支出 プロモーション割引額,,未決済,,,
支出,2024-09-23,Amazon手数料,30159,,支出 Amazon手数料,,未決済,,,
支出,2024-09-23,Amazon手数料,2480,,支出 FBA 手数料,,未決済,,,
支出,2024-09-23,Amazon手数料,740,,支出 その他,,未決済,,,
支出,2024-09-23,Amazon手数料,215,,支出 プロモーション割引額,,未決済,,,
支出,2024-10-07,Amazon手数料,19161,,支出 Amazon手数料,,未決済,,,
支出,2024-10-07,Amazon手数料,1402,,支出 FBA 手数料,,未決済,,,
支出,2024-10-07,Amazon手数料,540,,支出 その他,,未決済,,,
支出,2024-10-07,Amazon手数料,261,,支出 プロモーション割引額,,未決済,,,
支出,2024-10-21,Amazon手数料,34034,,支出 Amazon手数料,,未決済,,,
支出,2024-10-21,Amazon手数料,810,,支出 その他,,未決済,,,
支出,2024-10-21,Amazon手数料,281,,支出 プロモーション割引額,,未決済,,,
支出,2024-11-04,Amazon手数料,42100,,支出 Amazon手数料,,未決済,,,
支出,2024-11-04,Amazon手数料,2203,,支出 FBA 手数料,,未決済,,,
支出,2024-11-04,Amazon手数料,1214,,支出 その他,,未決済,,,
支出,2024-11-04,Amazon手数料,460,,支出 プロモーション割引額,,未決済,,,
支出,2024-11-18,Amazon手数料,51775,,支出 Amazon手数料,,未決済,,,
支出,2024-11-18,Amazon手数料,3715,,支出 FBA 手数料,,未決済,,,
支出,2024-11-18,Amazon手数料,1444,,支出 その他,,未決済,,,
支出,2024-11-18,Amazon手数料,865,,支出 プロモーション割引額,,未決済,,,
支出,2024-12-02,Amazon手数料,40684,,支出 Amazon手数料,,未決済,,,
支出,2024-12-02,Amazon手数料,1419,,支出 FBA 手数料,,未決済,,,
支出,2024-12-02,Amazon手数料,995,,支出 その他,,未決済,,,
支出,2024-12-02,Amazon手数料,348,,支出 プロモーション割引額,,未決済,,,
支出,2024-12-16,Amazon手数料,27950,,支出 Amazon手数料,,未決済,,,
支出,2024-12-16,Amazon手数料,3181,,支出 FBA 手数料,,未決済,,,
支出,2024-12-16,Amazon手数料,805,,支出 その他,,未決済,,,
支出,2024-12-16,Amazon手数料,105,,支出 プロモーション割引額,,未決済,,,
支出,2024-12-30,Amazon手数料,43917,,支出 Amazon手数料,,未決済,,,
支出,2024-12-30,Amazon手数料,1086,,支出 その他,,未決済,,,
支出,2024-12-30,Amazon手数料,914,,支出 FBA 手数料,,未決済,,,
支出,2024-12-30,Amazon手数料,262,,支出 プロモーション割引額,,未決済,,,
支出,2024-04-08,荷造運賃,185,,AMZ*クリックポスト,,完了,NTTファイナンスBizカード,185.0,2024-04-08
支出,2024-06-13,荷造運賃,775,,ヤマト運輸株式会社,,完了,NTTファイナンスBizカード,775.0,2024-06-13
支出,2024-01-10,通信費,1716,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1716.0,2024-01-10
支出,2024-01-10,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-01-10
支出,2024-02-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-02-05
支出,2024-02-09,通信費,1399,,Vectorizer.AI月額利用料,,完了,NTTファイナンスBizカード,1399.0,2024-02-09
支出,2024-02-10,通信費,1716,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1716.0,2024-02-10
支出,2024-03-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-03-05
支出,2024-03-06,通信費,1500,,UDEMY,,完了,NTTファイナンスBizカード,1500.0,2024-03-06
支出,2024-03-10,通信費,1716,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1716.0,2024-03-10
支出,2024-03-23,通信費,3103,,CHATGPT SUBSCRIPTION,,完了,NTTファイナンスBizカード,3103.0,2024-03-23
支出,2024-04-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-04-05
支出,2024-04-10,通信費,1716,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1716.0,2024-04-10
支出,2024-04-12,通信費,2900,,GitMind,,完了,NTTファイナンスBizカード,2900.0,2024-04-12
支出,2024-04-13,通信費,1723,,"NOTION LABS, INC.",,完了,NTTファイナンスBizカード,1723.0,2024-04-13
支出,2024-04-14,通信費,1500,,UDEMY,,完了,NTTファイナンスBizカード,1500.0,2024-04-14
支出,2024-04-14,通信費,1567,,OPENAI,,完了,NTTファイナンスBizカード,1567.0,2024-04-14
支出,2024-04-23,通信費,3165,,CHATGPT SUBSCRIPTION,,完了,NTTファイナンスBizカード,3165.0,2024-04-23
支出,2024-05-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-05-05
支出,2024-05-06,通信費,1850,,NewsPicks,,完了,NTTファイナンスBizカード,1850.0,2024-05-06
支出,2024-05-10,通信費,1716,,マイクロソフト,,完了,NTTファイナンスBizカード,1716.0,2024-05-10
支出,2024-05-13,通信費,1752,,"NOTION LABS, INC.",,完了,NTTファイナンスBizカード,1752.0,2024-05-13
支出,2024-05-23,通信費,3207,,OPENAI *CHATGPT SUBSCR,,完了,NTTファイナンスBizカード,3207.0,2024-05-23
支出,2024-05-31,通信費,880,,まぐまぐ!,,完了,NTTファイナンスBizカード,880.0,2024-05-31
支出,2024-06-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-06-05
支出,2024-06-06,通信費,1850,,NewsPicks,,完了,NTTファイナンスBizカード,1850.0,2024-06-06
支出,2024-06-10,通信費,1716,,Microsoft 365,,完了,NTTファイナンスBizカード,1716.0,2024-06-10
支出,2024-06-23,通信費,3266,,OPENAI *CHATGPT SUBSCR,,完了,NTTファイナンスBizカード,3266.0,2024-06-23
支出,2024-06-23,通信費,6446,,1PASSWORD,,完了,NTTファイナンスBizカード,6446.0,2024-06-23
支出,2024-06-24,通信費,1428,,エツクスサ-バ-,,未決済,,,
支出,2024-06-30,通信費,880,,まぐまぐ!,,完了,NTTファイナンスBizカード,880.0,2024-06-30
支出,2024-07-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-07-05
支出,2024-07-06,通信費,1850,,NewsPicks,,完了,NTTファイナンスBizカード,1850.0,2024-07-06
支出,2024-07-10,通信費,1716,,Microsoft365,,完了,NTTファイナンスBizカード,1716.0,2024-07-10
支出,2024-07-20,通信費,805,,WORKFLOWY,,完了,NTTファイナンスBizカード,805.0,2024-07-20
支出,2024-07-23,通信費,3221,,OPENAI *CHATGPT SUBSCR,,完了,NTTファイナンスBizカード,3221.0,2024-07-23
支出,2024-07-23,通信費,10951,,SELLERSPRITE.COM,,完了,NTTファイナンスBizカード,10951.0,2024-07-23
支出,2024-07-31,通信費,880,,まぐまぐ!,,完了,NTTファイナンスBizカード,880.0,2024-07-31
支出,2024-08-03,通信費,1628,,freee,,完了,NTTファイナンスBizカード,1628.0,2024-08-03
支出,2024-08-04,通信費,2761,,TANA.INC,,完了,NTTファイナンスBizカード,2761.0,2024-08-04
支出,2024-08-05,通信費,1848,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1848.0,2024-08-05
支出,2024-08-06,通信費,1850,,NewsPicks,,完了,NTTファイナンスBizカード,1850.0,2024-08-06
支出,2024-08-10,通信費,1716,,マイクロソフト,,完了,NTTファイナンスBizカード,1716.0,2024-08-10
支出,2024-08-23,通信費,2999,,OPENAI *CHATGPT SUBSCR,,完了,NTTファイナンスBizカード,2999.0,2024-08-23
支出,2024-08-23,通信費,10199,,SELLERSPRITE.COM,,完了,NTTファイナンスBizカード,10199.0,2024-08-23
支出,2024-08-28,通信費,603,,TickTick（PAYPAL）,,完了,NTTファイナンスBizカード,603.0,2024-08-28
支出,2024-08-31,通信費,880,,まぐまぐ!,,完了,NTTファイナンスBizカード,880.0,2024-08-31
支出,2024-09-03,通信費,1628,,freee,,完了,NTTファイナンスBizカード,1628.0,2024-09-03
