収支区分,発生日,勘定科目,金額,税区分,備考,品目,決済状況,決済口座,決済金額,決済日
支出,2023-01-01,開業費,980,,2022/03/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,8166,,2022/03/02_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,8457,,2022/03/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,3080,,2022/03/24_新聞図書費_本の学校 今井ブックセンター,,未決済,,,
支出,2023-01-01,開業費,980,,2022/04/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,9133,,2022/04/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/05/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,9133,,2022/05/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/05/28_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/06/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,9569,,2022/06/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/06/23_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/07/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,2700,,2022/07/08_研究開発費_OCS国内送料　アートパネル,,未決済,,,
支出,2023-01-01,開業費,9803,,2022/07/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/07/23_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/08/01_雑費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,9720,,2022/08/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/08/23_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/09/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,120,,2022/09/20_通信費_MICROSOFT*STORE利用国JPN,,未決済,,,
支出,2023-01-01,開業費,10174,,2022/09/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,10800,,2022/09/22_通信費_LUCIDCHART.COM/CHARG利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/09/23_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,10800,,2022/09/29_通信費_LUCIDCHART.COM/CHARG利用国USA,,未決済,,,
支出,2023-01-01,開業費,2728,,2022/09/29_通信費_ADOBE PS CLOUD TRIAL利用国USA,,未決済,,,
支出,2023-01-01,開業費,980,,2022/10/01_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,22000,,2022/10/04_外注工賃_カブシキガイシヤクラウドワ,,未決済,,,
支出,2023-01-01,開業費,1458,,2022/10/10_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,1357,,2022/10/19_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,10619,,2022/10/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,2342,,2022/10/21_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/10/23_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,2660,,2022/10/23_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,1312,,2022/10/23_新聞図書費_AMAZON DOWNLOADS利用国USA,,未決済,,,
支出,2023-01-01,開業費,3100,,2022/10/29_研究開発費_OCS国内送料　アートパネル,,未決済,,,
支出,2023-01-01,開業費,2728,,2022/10/29_通信費_ADOBE PS CREATIVE CL利用国IRL,,未決済,,,
支出,2023-01-01,開業費,3828,,2022/10/29_通信費_ADOBE IL CLOUD TRIAL利用国IRL,,未決済,,,
支出,2023-01-01,開業費,980,,2022/11/01_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,24671,,2022/11/05_雑費_デイ-シヨツプワンプラス　プリンター,,未決済,,,
支出,2023-01-01,開業費,1,,2022/11/07_通信費_エツクスサ-バ-,,未決済,,,
支出,2023-01-01,開業費,15800,,2022/11/12_通信費_AFFINITY利用国GB　Affinity Photo Designer Publisher,,未決済,,,
支出,2023-01-01,開業費,12400,,2022/11/13_通信費_ADOBE PS CREATIVE CL利用国IRL,,未決済,,,
支出,2023-01-01,開業費,1557,,2022/11/15_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,5458,,2022/11/16_荷造運賃_カ ダンボ-ルワン 梱包用段ボール,,未決済,,,
支出,2023-01-01,開業費,293,,2022/11/17_新聞図書費_楽天マガジン,,未決済,,,
支出,2023-01-01,開業費,27500,,2022/11/20_雑費_GS1(JAN)コード　みずほ銀行 赤坂支店 普通預金 1706640 ザイ)リユウツウシステムカイハツセンタ-(依頼人名:ダイニン コウヘイ 振込予定日:2022年11月20日 管理番号:20221120-99870699),,未決済,,,
支出,2023-01-01,開業費,9952,,2022/11/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/11/23_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,11700,,2022/11/24_研修採用費_UDEMYEU利用国IRL,,未決済,,,
支出,2023-01-01,開業費,1446,,2022/11/25_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,1650,,2022/11/30_通信費_AIRTABLE.COM/BILL利用国USA,,未決済,,,
支出,2023-01-01,開業費,2807,,2022/11/30_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,980,,2022/12/01_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,10560,,2022/12/05_通信費_エツクスサ-バ-,,未決済,,,
支出,2023-01-01,開業費,2354,,2022/12/06_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,21100,,2022/12/11_外注工賃_ビ-トウビ- ランサ-ズ,,未決済,,,
支出,2023-01-01,開業費,6400,,2022/12/15_研究開発費_OCS国内送料　壁掛け時計,,未決済,,,
支出,2023-01-01,開業費,6600,,2022/12/17_通信費_チヤツトワ-ク,,未決済,,,
支出,2023-01-01,開業費,9716,,2022/12/21_通信費_PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-01-01,開業費,1538,,2022/12/26_新聞図書費_AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-01-01,開業費,7956,,2022/12/27_通信費_EVERNOTE利用国CHE,,未決済,,,
支出,2023-01-01,開業費,29800,,2022/12/28_外注工賃_PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-01-01,開業費,119559,,"2022/6/23-2022/12/13　イーウーパスポート　サンプルなど（5,879元×20.3366円／元）",,完了,YP,119559.0,2023-01-01
収入,2023-05-28,雑費,200,,PP*9491CODE,,完了,NTTファイナンスBizカード,200.0,2023-05-28
収入,2023-06-23,通信費,830,,XMIND LTD,,完了,NTTファイナンスBizカード,830.0,2023-06-23
支出,2023-03-14,事業主借,247,,MICROSOFT*365利用国JPN,,未決済,,,
支出,2023-01-21,仕入高,10841,,PO-0001_商品代金（552元×19.64円／元）,,完了,YP,10841.0,2023-01-21
支出,2023-01-21,仕入高,3416,,PO-0001_検品作業代（175元×19.52円／元）,,完了,YP,3416.0,2023-01-21
支出,2023-01-21,仕入高,10834,,PO-0001_OCS国際送料（555元×19.52円／元、12kg、1箱）,,完了,YP,10834.0,2023-01-21
支出,2023-01-21,仕入高,3100,,PO-0001_OCS輸入消費税等、立替手数料,,未決済,,,
支出,2023-02-28,仕入高,27926,,前月の期末商品棚卸高,,未決済,,,
支出,2023-03-30,仕入高,12313,,PO-0002_商品代金（625元×19.70円／元）,,完了,YP,12313.0,2023-03-30
支出,2023-03-30,仕入高,11722,,PO-0002_OCS国際送料（595元×19.70円／元、13kg、1箱）,,完了,YP,11722.0,2023-03-30
支出,2023-03-30,仕入高,788,,PO-0002_資材費OPP袋80枚（40元×19.70円／元）,,完了,YP,788.0,2023-03-30
支出,2023-03-30,仕入高,3940,,PO-0002_検品・発送作業代（200元×19.70円／元）,,完了,YP,3940.0,2023-03-30
支出,2023-03-31,仕入高,18656,,前月の期末商品棚卸高,,未決済,,,
支出,2023-04-30,仕入高,38552,,前月の期末在庫金額,,未決済,,,
支出,2023-05-24,仕入高,2811,,PO-0003_商品代金（143元×19.66円／元）,,完了,YP,2811.0,2023-05-24
支出,2023-05-24,仕入高,196600,,"PO-0003_商品代金（10,000元×19.66円／元）",,完了,YP,196600.0,2023-05-24
支出,2023-05-24,仕入高,1295,,PO-0003_返品送料（△65元×19.92円／元）,,完了,YP,1295.0,2023-05-24
支出,2023-05-24,仕入高,33147,,"PO-0003_快速船便国際送料（1,664元×19.92円／元、208kg、8箱）",,完了,YP,33147.0,2023-05-24
支出,2023-05-24,仕入高,8964,,PO-0003_検品・発送作業代（450元×19.92円／元、18時間）,,完了,YP,8964.0,2023-05-24
支出,2023-05-24,仕入高,299,,PO-0003_資材代OPP袋30枚（15元×19.92円／元）,,完了,YP,299.0,2023-05-24
支出,2023-05-24,仕入高,22350,,PO-0003_楽天銀行 第四営業支店 普通預金 7240629 株式会社 ア-ルズ(依頼人名:カイテキブツパン ダイニンコウヘイ 内容:関税消費税等2023.05.24(掛け時計×168) 振込予定日:2023年0,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,22350.0,2023-05-24
支出,2023-05-31,仕入高,34703,,前月の期末在庫金額,,未決済,,,
支出,2023-06-30,仕入高,263750,,前月の期末在庫金額,,未決済,,,
支出,2023-07-31,仕入高,206716,,前月の期末在庫金額,,未決済,,,
支出,2023-08-31,仕入高,166158,,前月の期末在庫金額,,未決済,,,
支出,2023-09-30,仕入高,152355,,前月の期末在庫金額,,未決済,,,
支出,2023-10-31,仕入高,141740,,前月の期末在庫金額,,未決済,,,
支出,2023-11-15,仕入高,2579,,お食事エプロンPE製　洗濯タグ500個（125元×20.63円／元）,,完了,ESPRIME,2579.0,2023-11-15
支出,2023-11-30,仕入高,108770,,前月の期末在庫金額,,未決済,,,
支出,2023-12-31,仕入高,102619,,前月の期末在庫金額,,未決済,,,
支出,2023-01-31,Amazon手数料,1209,,Amazon月次締め,,未決済,,,
支出,2023-02-28,Amazon手数料,39327,,Amazon月次締め,,未決済,,,
支出,2023-03-31,Amazon手数料,33707,,Amazon月次締め,,未決済,,,
支出,2023-04-30,Amazon手数料,26291,,Amazon月次締め,,未決済,,,
支出,2023-05-31,Amazon手数料,28323,,Amazon月次締め,,未決済,,,
支出,2023-06-30,Amazon手数料,76139,,Amazon 6月分,,未決済,,,
支出,2023-07-31,Amazon手数料,61931,,,,未決済,,,
支出,2023-08-31,Amazon手数料,32195,,,,未決済,,,
支出,2023-09-30,Amazon手数料,13692,,,,未決済,,,
支出,2023-10-31,Amazon手数料,22137,,,,未決済,,,
支出,2023-11-30,Amazon手数料,48131,,,,未決済,,,
支出,2023-12-31,Amazon手数料,37837,,,,未決済,,,
支出,2023-01-03,通信費,10342,,AWS JAPAN 利用料,,未決済,,,
支出,2023-01-05,通信費,990,,Microsoft365 月額利用料,,未決済,,,
支出,2023-01-21,通信費,9133,,SELLERSPRITE,,未決済,,,
支出,2023-01-27,通信費,264,,NOTION,,未決済,,,
支出,2023-02-03,通信費,635,,AWS JAPAN,,未決済,,,
支出,2023-02-09,通信費,990,,Microsoft365,,未決済,,,
支出,2023-02-21,通信費,9570,,SELLERSPRITE,,未決済,,,
支出,2023-02-23,通信費,29800,,YIWUPASSPORT,,未決済,,,
支出,2023-02-23,通信費,4214,,EAGLE　購入代金,,未決済,,,
支出,2023-02-26,通信費,1284,,Microsoft365,,未決済,,,
支出,2023-02-27,通信費,1387,,NOTION,,未決済,,,
支出,2023-02-28,通信費,1548,,マネ-フオワ-ド,,未決済,,,
支出,2023-03-10,通信費,3953,,Microsoft365,,未決済,,,
支出,2023-03-21,通信費,9475,,PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-03-26,通信費,1284,,MICROSOFT*SUBSCRIPTI利用国JPN,,未決済,,,
支出,2023-03-27,通信費,3381,,"NOTION LABS, INC.利用国USA",,未決済,,,
支出,2023-03-31,通信費,1408,,マネーフオワード,,完了,NTTファイナンスBizカード,1408.0,2023-03-31
支出,2023-04-21,通信費,9572,,PAYPAL *SELLERSPRIT利用国USA,,未決済,,,
支出,2023-04-26,通信費,1284,,マイクロソフト アドバタイシ,,未決済,,,
支出,2023-04-27,通信費,530,,"NOTION LABS, INC.",,完了,NTTファイナンスBizカード,530.0,2023-04-27
支出,2023-04-30,通信費,1408,,マネーフオワード,,完了,NTTファイナンスBizカード,1408.0,2023-04-30
支出,2023-05-10,通信費,2992,,Microsoft365,,完了,NTTファイナンスBizカード,2992.0,2023-05-10
支出,2023-05-21,通信費,9827,,SellerSprite月額利用料,,未決済,,,
支出,2023-05-26,通信費,1284,,マイクロソフト,,未決済,,,
支出,2023-05-27,通信費,1437,,Notion,,完了,NTTファイナンスBizカード,1437.0,2023-05-27
支出,2023-05-31,通信費,1408,,マネーフオワード,,完了,NTTファイナンスBizカード,1408.0,2023-05-31
支出,2023-06-06,通信費,830,,XMIND LTD,,完了,NTTファイナンスBizカード,830.0,2023-06-06
支出,2023-06-10,通信費,2992,,MSFT *<E0600NPWCJ>,,完了,NTTファイナンスBizカード,2992.0,2023-06-10
支出,2023-06-13,通信費,2859,,CHATGPT SUBSCRIPTION,,完了,NTTファイナンスBizカード,2859.0,2023-06-13
支出,2023-06-21,通信費,10061,,SellerSprite,,未決済,,,
支出,2023-06-21,通信費,5718,,MINDOMO.COM,,完了,NTTファイナンスBizカード,5718.0,2023-06-21
支出,2023-06-27,通信費,1470,,Notion,,完了,NTTファイナンスBizカード,1470.0,2023-06-27
支出,2023-06-30,通信費,1408,,マネーフオワード,,完了,NTTファイナンスBizカード,1408.0,2023-06-30
支出,2023-07-01,通信費,770,,エックスサーバー（ufa-ec.comドメイン料）,,完了,NTTファイナンスBizカード,770.0,2023-07-01
支出,2023-07-10,通信費,2992,,マイクロソフト,,完了,NTTファイナンスBizカード,2992.0,2023-07-10
支出,2023-07-21,通信費,9916,,SellerSprite月額利用料,,未決済,,,
支出,2023-07-26,通信費,1490,,JCB国内利用 JCB マイクロソフト,,未決済,,,
支出,2023-08-13,通信費,47,,マイクロソフト,,完了,NTTファイナンスBizカード,47.0,2023-08-13
支出,2023-08-20,通信費,10333,,SellerSprite月額利用料,,完了,NTTファイナンスBizカード,10333.0,2023-08-20
支出,2023-08-26,通信費,1408,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1408.0,2023-08-26
支出,2023-08-26,通信費,1490,,マイクロソフト,,未決済,,,
支出,2023-09-10,通信費,1408,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1408.0,2023-09-10
支出,2023-09-10,通信費,1496,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1496.0,2023-09-10
支出,2023-09-20,通信費,10480,,SellerSprite月額利用料,,完了,NTTファイナンスBizカード,10480.0,2023-09-20
支出,2023-10-10,通信費,1496,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1496.0,2023-10-10
支出,2023-10-10,通信費,1408,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1408.0,2023-10-10
支出,2023-10-20,通信費,10624,,SellerSprite月額利用料,,完了,NTTファイナンスBizカード,10624.0,2023-10-20
支出,2023-10-26,通信費,1490,,JCB国内利用 JCB マイクロソフト,,未決済,,,
支出,2023-11-10,通信費,1408,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1408.0,2023-11-10
支出,2023-11-10,通信費,1496,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1496.0,2023-11-10
支出,2023-12-10,通信費,1716,,Microsoft 365 Business Standard,,完了,NTTファイナンスBizカード,1716.0,2023-12-10
支出,2023-12-10,通信費,1408,,マネーフォワードクラウド,,完了,NTTファイナンスBizカード,1408.0,2023-12-10
支出,2023-12-17,通信費,9240,,チヤツトワ-ク,,未決済,,,
支出,2023-12-20,通信費,20536,,"SellerSprite月額利用料（11,12月分）",,完了,NTTファイナンスBizカード,20536.0,2023-12-20
支出,2023-12-21,通信費,734,,WORKFLOWY,,完了,NTTファイナンスBizカード,734.0,2023-12-21
支出,2023-12-21,通信費,13200,,エツクスサーバー　快適物販サーバー代,,未決済,,,
支出,2023-12-26,通信費,1490,,マイクロソフト,,未決済,,,
支出,2023-04-10,消耗品費,2992,,Microsoft Office365,,完了,NTTファイナンスBizカード,2992.0,2023-04-10
支出,2023-01-23,外注費,29800,,YIWUPASSPORT,,未決済,,,
支出,2023-03-21,外注費,24370,,Lancers　画像制作委託,,未決済,,,
支出,2023-03-23,外注費,29800,,PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-04-23,外注費,29800,,PAYPAL *YIWUPASSPOR利用国USA,,未決済,,,
支出,2023-05-20,外注費,9800,,THE直行便　月額利用料,,完了,NTTファイナンスBizカード,9800.0,2023-05-20
支出,2023-05-23,外注費,29800,,YIWUPASSPORT月額利用料,,未決済,,,
支出,2023-05-27,外注費,29800,,THE直行便　月額利用料,,完了,NTTファイナンスBizカード,29800.0,2023-05-27
支出,2023-06-26,外注費,29800,,THE直行便　月額利用料,,完了,NTTファイナンスBizカード,29800.0,2023-06-26
支出,2023-07-02,外注費,5500,,代行会社ESPRIM　月額利用料,,完了,NTTファイナンスBizカード,5500.0,2023-07-02
支出,2023-07-19,外注費,16247,,Lancers（ウォールステッカーデザイン）,,完了,NTTファイナンスBizカード,16247.0,2023-07-19
支出,2023-08-02,外注費,5500,,代行会社ESPRIM　月額利用料,,完了,NTTファイナンスBizカード,5500.0,2023-08-02
支出,2023-08-29,外注費,9900,,ASC　代行手数料,,完了,NTTファイナンスBizカード,9900.0,2023-08-29
支出,2023-09-02,外注費,5500,,代行会社ESPRIM,,完了,NTTファイナンスBizカード,5500.0,2023-09-02
支出,2023-09-29,外注費,9900,,ASC subscription,,完了,NTTファイナンスBizカード,9900.0,2023-09-29
支出,2023-10-02,外注費,5500,,代行会社ESPRIM月会費,,完了,NTTファイナンスBizカード,5500.0,2023-10-02
支出,2023-10-29,外注費,9900,,ASC subscription,,完了,NTTファイナンスBizカード,9900.0,2023-10-29
支出,2023-11-02,外注費,11105,,ココナラ（Ufaロゴデザイン）,,完了,NTTファイナンスBizカード,11105.0,2023-11-02
支出,2023-11-02,外注費,5500,,代行会社ESPRIM月会費,,完了,NTTファイナンスBizカード,5500.0,2023-11-02
支出,2023-11-29,外注費,9900,,ASC subscription,,完了,NTTファイナンスBizカード,9900.0,2023-11-29
支出,2023-12-02,外注費,5500,,代行会社ESPRIM,,完了,NTTファイナンスBizカード,5500.0,2023-12-02
支出,2023-12-29,外注費,9900,,ASC subscription,,完了,NTTファイナンスBizカード,9900.0,2023-12-29
支出,2023-03-28,支払手数料,18600,,特許出願費用：cotobox「KAZAROOM」出願費用、特許印紙代,,未決済,,,
支出,2023-03-29,支払手数料,200,,PP*9491CODE（PayPla手数料）,,完了,NTTファイナンスBizカード,200.0,2023-03-29
支出,2023-04-12,支払手数料,229,,振込手数料(内消費税 ￥20),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,229.0,2023-04-12
支出,2023-04-12,支払手数料,22000,,特許使用意思表明：cotobox「KAZAROOM」事業予定と使用意思表明,,未決済,,,
支出,2023-04-25,支払手数料,200,,NTTフ(カ-ド,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,200.0,2023-04-25
支出,2023-05-28,支払手数料,229,,THHE直行便入金　振込手数料(内消費税 ￥20),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,229.0,2023-05-28
支出,2023-05-30,支払手数料,52,,振込手数料(内消費税 ￥4),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,52.0,2023-05-30
支出,2023-07-18,支払手数料,52,,振込手数料(内消費税 ￥4),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,52.0,2023-07-18
支出,2023-08-01,支払手数料,12000,,文字商標取得申請「Ufa」,,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,12000.0,2023-08-01
支出,2023-08-09,支払手数料,229,,振込手数料(内消費税 ￥20),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,229.0,2023-08-09
支出,2023-10-15,支払手数料,150,,振込手数料(内消費税 ￥13),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,150.0,2023-10-15
支出,2023-06-28,研修採用費,198000,,ASC　入会料,,完了,NTTファイナンスBizカード,198000.0,2023-06-28
支出,2023-06-28,研修採用費,150000,,ASC　代行紹介料,,完了,NTTファイナンスBizカード,150000.0,2023-06-28
支出,2023-11-08,研修採用費,1600,,UDEMY（APIとは？、Power Apps基礎）,,完了,NTTファイナンスBizカード,1600.0,2023-11-08
支出,2023-01-01,新聞図書費,980,,Kindle Ultimated 月額利用料,,未決済,,,
支出,2023-02-01,新聞図書費,980,,Kindle Ultimated 月額利用料,,未決済,,,
支出,2023-04-01,新聞図書費,980,,AMAZON DOWNLOADS利用国LUX,,未決済,,,
支出,2023-04-06,新聞図書費,2404,,AMAZON DOWNLOADS利用国LUX,,未決済,,,
